,GEOID,count_x,count_y,SE_A03001_003,SE_A18005_001,SE_A06001_005,SE_B18002_002,SE_B18002_003,SE_A08002B_003,SE_A10011_003,SE_A10039B_009,randomforrest_pred,nbeats_rmse,lstm_rmse,gru_rmse,brnn_rmse,ensemble_rmse,average_rmse,best_rmse,worst_rmse,best_model_mase,nbeats_mase,lstm_mase,gru_mase,brnn_mase,ensemble_mase,average_mase,best_mase,worst_mase,best_model_mase
0,48201451401,526.0841663,1.063506654,574,1137.175043,869,446,210,236,407,247,1,0.169232701,0.171782105,0.172590603,0.172590603,0.169232701,0.171085743,0.169232701,0.172590603,1,1.023807958,1.031564999,1.034326371,1.034326371,1.023807958,1.029566732,1.023807958,1.034326371,1
1,48113010903,1004.427987,1.458414454,1886,877.1300448,559,458,292,173,221,366,1,0.257954089,0.263064696,0.263938353,0.263938353,0.257954089,0.261369916,0.257954089,0.263938353,1,0.705528968,0.720240051,0.721880108,0.721880108,0.705528968,0.715011641,0.705528968,0.721880108,1
2,48113006502,67.32329269,0.17011036,11,1050.859107,1045,74,31,129,141,51,3,0.015340985,0.00121893,0.001511259,0.001511259,0.001511259,0.004218739,0.00121893,0.015340985,2,0.528607938,0.044083375,0.059305873,0.059305873,0.059305873,0.150121787,0.044083375,0.528607938,2
3,48113009303,212.0180404,0.293186655,630,1018.478261,1276,71,12,112,187,33,2,0.047406822,0.045163192,0.04504129,0.04504129,0.04504129,0.045538777,0.04504129,0.047406822,3,0.691209687,0.691057688,0.681127896,0.681127896,0.681127896,0.685130212,0.681127896,0.691209687,3
4,48201312800,1165.856284,3.284374549,2104,434.8314607,249,161,88,172,263,33,1,0.135006666,0.13246299,0.131211234,0.131211234,0.135006666,0.132979758,0.131211234,0.135006666,3,0.348623342,0.340344874,0.337978609,0.337978609,0.348623342,0.342709755,0.337978609,0.348623342,3
5,48113013805,1402.703567,1.016823139,627,1444.685139,801,431,378,782,96,201,1,0.509245176,0.511616158,0.511580908,0.511580908,0.509245176,0.510653665,0.509245176,0.511616158,1,0.875395232,0.881847423,0.88135812,0.88135812,0.875395232,0.879070825,0.875395232,0.881847423,1
6,48201330400,224.2281674,0.84656312,1760,856.6433566,876,311,104,150,241,279,1,0.0685718,0.069178089,0.070120746,0.070120746,0.0685718,0.069312636,0.0685718,0.070120746,1,0.835233463,0.863729748,0.864270983,0.864270983,0.835233463,0.852547728,0.835233463,0.864270983,1
7,48201324000,149.6894606,0.162745897,69,1285.738255,275,117,131,649,372,48,1,0.01557608,0.002358075,0.001294076,0.001294076,0.001294076,0.004363277,0.001294076,0.01557608,3,0.275053015,0.040441936,0.020803265,0.020803265,0.020803265,0.075580949,0.020803265,0.275053015,3
8,48201313500,1030.852705,1.081917321,2062,842.4311927,130,79,115,229,207,31,1,0.145172785,0.151227018,0.151047832,0.151047832,0.145172785,0.148733651,0.145172785,0.151227018,1,0.357829949,0.387143791,0.387695252,0.387695252,0.357829949,0.375638839,0.357829949,0.387695252,1
9,48201520700,94.05823162,0.228562607,150,1024.550898,556,89,25,17,150,29,2,0.016412817,0.005076105,0.00360596,0.00360596,0.016412817,0.009022732,0.00360596,0.016412817,3,0.446889855,0.144576282,0.097767988,0.097767988,0.446889855,0.246778394,0.097767988,0.446889855,3
